Date,year,Address,City,Inc #,Turnout,Travel,RT original,Responsetime,address_geo,lat,long
2013-08-21,2013,720 E market St,Iowa City,13-3417,00:30:00,00:32:00,01:02:00,1.02,"720 E market St, Iowa City, Iowa",41.663846,-91.524861
2013-08-25,2013,2332 Lakeside Dr,Iowa City,13-3485,01:36:00,03:40:00,05:16:00,5.16,"2332 Lakeside Dr, Iowa City, Iowa",41.633724,-91.503373
2013-09-06,2013,1018 Diana St,Iowa City,13-3700,01:03:00,03:45:00,04:48:00,4.48,"1018 Diana St, Iowa City, Iowa",41.6494263,-91.5265606
2013-09-13,2013,1205 Laura Dr,Iowa City,13-3835,00:25:00,06:38:00,07:03:00,7.03,"1205 Laura Dr, Iowa City, Iowa",41.684809,-91.543113
2013-10-04,2013,1219 Burns Ave,Iowa City,13-4183,00:59:00,05:06:00,06:05:00,6.05,"1219 Burns Ave, Iowa City, Iowa",41.6352787,-91.5177779
2013-10-11,2013,934 West Side Dr,Iowa City,13-4312,01:13:00,04:01:00,05:14:00,5.14,"934 West Side Dr, Iowa City, Iowa",41.639183,-91.568884
2013-10-16,2013,36 W Court St,Iowa City,13-4399,02:34:00,00:57:00,03:31:00,3.31,"36 W Court St, Iowa City, Iowa",41.6566365,-91.5367592
2013-11-04,2013,328 N Dubuque,Iowa City,13-4734,01:22:00,01:32:00,02:54:00,2.54,"328 N Dubuque, Iowa City, Iowa",41.6656229,-91.532777
2013-11-07,2013,1314 Carroll St,Iowa City,13-4779,02:23:00,02:52:00,05:15:00,5.15,"1314 Carroll St, Iowa City, Iowa",41.646422,-91.524343
2013-12-17,2013,375 Newton Rd,Iowa City,13-5409,01:14:00,03:11:00,04:25:00,4.25,"375 Newton Rd, Iowa City, Iowa",41.6632071,-91.5453577
2014-01-06,2014,404 S Gilbert St,Iowa City,14-81,01:40:00,01:21:00,03:01:00,3.01,"404 S Gilbert St, Iowa City, Iowa",41.6568029,-91.5299783
2014-01-09,2014,527 N Dubuque St,Iowa City,14-158,01:15:00,02:51:00,04:06:00,4.06,"527 N Dubuque St, Iowa City, Iowa",41.667674,-91.533401
2014-01-28,2014,320 S Dubuque St,Iowa City,14-452,01:35:00,01:40:00,03:15:00,3.15,"320 S Dubuque St, Iowa City, Iowa",41.6570266,-91.5327378
2014-02-11,2014,639 S Lucas St,Iowa City,14-659,01:29:00,02:25:00,03:54:00,3.54,"639 S Lucas St, Iowa City, Iowa",41.652839,-91.524726
2014-03-18,2014,623 E Jefferson St,Iowa City,14-1102,01:38:00,01:19:00,02:57:00,2.57,"623 E Jefferson St, Iowa City, Iowa",41.662065,-91.526266
2014-03-26,2014,511 S Capitol St,Iowa City,14-1203,00:49:00,03:09:00,03:58:00,3.58,"511 S Capitol St, Iowa City, Iowa",41.6549819,-91.5365939
2014-03-31,2014,1103 Cambria Ct,Iowa City,14-1255,02:04:00,02:34:00,04:38:00,4.38,"1103 Cambria Ct, Iowa City, Iowa",41.647009,-91.572638
2014-04-15,2014,2339 Heinz Rd,Iowa City,14-1518,01:14:00,01:26:00,02:40:00,2.4,"2339 Heinz Rd, Iowa City, Iowa",41.635118,-91.489694
2014-04-30,2014,526 S Johnson St,Iowa City,14-1746,00:59:00,01:47:00,02:46:00,2.46,"526 S Johnson St, Iowa City, Iowa",41.654502,-91.526894
2014-05-18,2014,214 N Linn St,Iowa City,14-2025,01:16:00,01:25:00,02:41:00,2.41,"214 N Linn St, Iowa City, Iowa",41.664071,-91.531318
2014-06-19,2014,1220 W Highway #6,Iowa City,14-2569,02:01:00,02:21:00,04:22:00,4.22,"1220 W Highway #6, Iowa City, Iowa",41.7512494,-91.8110374
2014-06-20,2014,1136 Eagle Pl,Iowa City,14-2596,01:19:00,05:18:00,06:37:00,6.37,"1136 Eagle Pl, Iowa City, Iowa",41.6705026,-91.5976812
2014-07-07,2014,614 E Jefferson st,Iowa City,14-2862,01:27:00,01:34:00,03:01:00,3.01,"614 E Jefferson st, Iowa City, Iowa",41.662759,-91.5264739
2014-07-13,2014,2500 E Highway #6,Iowa City,14-2967,01:06:00,03:43:00,04:49:00,4.49,"2500 E Highway #6, Iowa City, Iowa",41.6352244,-91.5000773
2014-07-15,2014,103 S Capitol St,Iowa City,14-3000,01:01:00,02:33:00,03:34:00,3.34,"103 S Capitol St, Iowa City, Iowa",41.6601115,-91.5361776
2014-07-15,2014,619 Fairchild St,Iowa City,14-3002,00:58:00,03:37:00,04:35:00,4.35,"619 Fairchild St, Iowa City, Iowa",41.666525,-91.526344
