GIS_Number,"Map Name",Class,Doing_Business_As,Address,Deedholder,Acres,"Residential Occupancy Type","Style Descr","Year Built","Total Living Area","Commercial Occupancy Type","Year Built_2","Gross Bldg Area","2008 total","2016 Total"
142632600200000,"CITY PROPERTY",EXEMPT,"VAN VECHTEN PARK","VACANT LAND SE","CEDAR RAPIDS CITY OF",21.0,"","","","","","","",0,0
142637700300000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",9.65,"","","","","","","",0,0
142637700400000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.46,"","","","","","","",0,0
142715500800000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.64,"","","","","","","",0,0
142715501200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.138,"","","","","","","",0,0
142715600700000,"CITY PROPERTY",EXEMPT,"VACANT LAND","15TH AVE SE","CEDAR RAPIDS CITY OF",1.08,"","","","","","","",0,0
142715700100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",8.793,"","","","","","","",0,0
142717600100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",47.77,"","","","","","","",0,0
142720100100000,"CITY PROPERTY",EXEMPT,"OAK HILL CEMETARY","VACANT LAND SE","CEDAR RAPIDS CITY OF",3.0,"","","","","","","",0,0
142720200400000,"CITY PROPERTY",EXEMPT,"OAK HILL CEMETARY","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.128,"","","","","","","",0,0
142720202200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.129,"","","","","","","",0,0
142720302100000,"CITY PROPERTY",EXEMPT,"STREET SEGMENT","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.052,"","","","","","","",0,0
142720302200000,"CITY PROPERTY",EXEMPT,"STREET SEGMENT","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.067,"","","","","","","",0,0
142720302300000,"CITY PROPERTY",EXEMPT,"STREET SEGMENT","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.026,"","","","","","","",0,0
142720402700000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.048,"","","","","","","",0,0
142720602600000,"CITY PROPERTY",EXEMPT,"VACANT LAND","10TH ST SE","CEDAR RAPIDS CITY OF",0.08,"","","","","","","",0,0
142720700900000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.129,"","","","","","","",0,0
142720702500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.129,"","","","","","","",0,0
142725600300000,"CITY PROPERTY",EXEMPT,"VACANT LAND","5TH ST SE","CEDAR RAPIDS CITY OF",0.0964,"","","","","","","",0,0
142725700200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.041,"","","","","","","",0,0
142725700300000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.8494,"","","","","","","",0,0
142726000800000,"CITY PROPERTY",EXEMPT,"SINCLAIR PARK","VACANT LAND SE","CEDAR RAPIDS CITY OF",1.97,"","","","","","","",0,0
142726100300000,"CITY PROPERTY",EXEMPT,"VACANT LAND","5TH ST SE","CEDAR RAPIDS CITY OF",0.197,"","","","","","","",0,0
142727700400000,"CITY PROPERTY",EXEMPT,"HIDDER PARK","10TH ST SE","CEDAR RAPIDS CITY OF",0.771,"","","","","","","",0,0
142727700500000,"CITY PROPERTY",EXEMPT,"FLAT PARKING","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.841,"","","","","","","",0,0
142727700700000,"CITY PROPERTY",EXEMPT,"FLAT PARKING","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.125,"","","","","","","",0,0
142727700800000,"CITY PROPERTY",EXEMPT,"WHITTAM PARK","VACANT LAND SE","CEDAR RAPIDS CITY OF",4.7,"","","","","","","",0,0
142727800100000,"CITY PROPERTY",EXEMPT,"BENDER POOL","14TH AVE SE","CEDAR RAPIDS CITY OF",1.736,"","","","","","","",0,0
142732800100000,"CITY PROPERTY",EXEMPT,"OLD FARMSTEAD SITE/ 3 BLDGS REMAIN","3RD ST SE","CEDAR RAPIDS CITY OF",30.17,"","","","",Warehouse,1920,10640,1279501,0
142733001900000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.066,"","","","","","","",0,0
142733100100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.121,"","","","","","","",0,0
142733100800000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.129,"","","","","","","",0,0
142733101900000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.545,"","","","","","","",0,0
142733102000000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",5.302,"","","","","","","",0,0
142735100100000,"CITY PROPERTY",EXEMPT,"VACANT LAND ALONG RIVER","VACANT LAND SW","CEDAR RAPIDS CITY OF",5.3,"","","","","","","",0,0
142737600100000,"CITY PROPERTY",EXEMPT,"CEDAR RAPIDS SOLID WASTE","A ST SW","CEDAR RAPIDS CITY OF",0.35,"","","","","","","",0,0
142810500400000,"CITY PROPERTY",EXEMPT,"FLAT PARKING","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.028,"","","","","","","",0,0
142810501100000,"CITY PROPERTY",EXEMPT,"FLAT PARKING","VACANT LAND SE","CEDAR RAPIDS CITY OF","","","","","","","","",0,0
142812700600000,"CITY PROPERTY",EXEMPT,"PARKING GARAGE","VACANT LAND SE","CEDAR RAPIDS CITY OF",1.698,"","","","","","","",0,0
142812900100000,"CITY PROPERTY",EXEMPT,"PARKING GARAGE","4TH AVE SE","CEDAR RAPIDS CITY OF",1.8,"","","","","","","",0,0
142813100102000,THEATER,EXEMPT,"PARAMOUNT THEATRE","2ND ST SE","CEDAR RAPIDS CITY OF","","","","","","","","",0,0
142813300400000,"CITY PROPERTY",EXEMPT,"PARKING RAMP","4TH AVE SE","CEDAR RAPIDS CITY OF",1.652,"","","","","","","",0,0
142813300500000,"CITY PROPERTY",EXEMPT,"CEDAR VALLEY MONTESSORI","4TH AVE SE","CEDAR RAPIDS CITY OF",3.805,"","","","","","","",0,0
142815300100000,"CITY PROPERTY",EXEMPT,SIDEWALK,"VACANT LAND SE","CEDAR RAPIDS CITY OF",0.11,"","","","","","","",0,0
142815300300000,"CITY PROPERTY",EXEMPT,"SITTING AREA","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.18,"","","","","","","",0,0
142815600100000,"CITY PROPERTY",EXEMPT,"FLAT PARKING","8TH AVE SE","CEDAR RAPIDS CITY OF",0.957,"","","","","","","",0,0
142815600300000,"CITY PROPERTY",EXEMPT,"FLAT PARKING","VACANT LAND SE","CEDAR RAPIDS CITY OF",1.1019,"","","","","","","",0,0
142815700100000,"CITY PROPERTY",EXEMPT,"FLAT PARKING","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.8329,"","","","","","","",0,0
142820400100000,"CITY PROPERTY",EXEMPT,"MAYS ISLAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",2.4,"","","","","","","",0,0
142820900100000,"CITY PROPERTY",EXEMPT,MEMORIAL,"VACANT LAND SW","CEDAR RAPIDS CITY OF",0.93,"","","","","","","",0,0
142822600100000,"CITY PROPERTY",EXEMPT,"VACANT LAND OFF RIVER","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.38,"","","","","","","",0,0
142822700100000,"CITY PROPERTY",EXEMPT,"FIRE TRAINING FACILITY","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.6683,"","","","","","","",0,0
142823000100000,"CITY PROPERTY",EXEMPT,"VACANT LAND ALONG RIVER","VACANT LAND SW","CEDAR RAPIDS CITY OF",1.791,"","","","","","","",0,0
142823400300000,"CITY PROPERTY",EXEMPT,"PARKING LOT","VACANT LAND SW","CEDAR RAPIDS CITY OF",0.305,"","","","","","","",0,0
142827900200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","H ST SW","CEDAR RAPIDS CITY OF",0.3347,"","","","","","","",0,0
142828200100000,"CITY PROPERTY",EXEMPT,"MEMORIAL PARKING","VACANT LAND SW","CEDAR RAPIDS CITY OF",0.861,"","","","","","","",0,0
142830100200000,"CITY PROPERTY",EXEMPT,"VACANT LOT","1ST ST SW","CEDAR RAPIDS CITY OF",0.0937,"","","","","","","",0,0
