GIS_Number,"Map Name",Class,Doing_Business_As,Address,Deedholder,Acres,"Residential Occupancy Type","Style Descr","Year Built","Total Living Area","Commercial Occupancy Type","Year Built_2","2013 Total","2008 total","2016 Total"
142040201500000,"CITY PROPERTY",EXEMPT,"","3RD ST NW","CEDAR RAPIDS CITY OF",0.075,"","","","","","",0,52622,""
142048400900000,"CITY PROPERTY",EXEMPT,"","G AVE NW","CEDAR RAPIDS CITY OF",0.119,"","","","","","",0,52743,11100
142825801300000,"CITY PROPERTY",EXEMPT,CONVERSION,"6TH AVE SW","CEDAR RAPIDS CITY OF",0.193,"","","","","","",0,52790,""
142048201000000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.036,"","","","","","",0,52855,7000
142040101000000,"CITY PROPERTY",EXEMPT,"","K AVE NW","CEDAR RAPIDS CITY OF",0.115,"","","","","","",0,53292,""
142040301500000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.161,"","","","","","",0,53316,""
142018000300000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,53563,""
142735300700000,"CITY PROPERTY",EXEMPT,"","22ND AVE SW","CEDAR RAPIDS CITY OF",0.119,"","","","","","",0,53572,""
142017601000000,"CITY PROPERTY",EXEMPT,"","N AVE NW","CEDAR RAPIDS CITY OF",0.115,Single-Family,Salvage,1900,760.0,"","",0,53587,""
142018000500000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,53636,""
142018401500000,"CITY PROPERTY",EXEMPT,"","3RD ST NW","CEDAR RAPIDS CITY OF",0.126,"","","","","","",0,54159,""
142835801200000,"CITY PROPERTY",EXEMPT,"","N ST SW","CEDAR RAPIDS CITY OF",0.108,Single-Family,"1 Story Frame",1906,727.0,"","",0,54313,17000
