Casey's Location,County,County # (See Map),Walmart in town?,Title X Agency & Clinic (Nearby ?),Title X Satellite Clinic,Satellite Clinic with Referral for Physical Examination,latitude,longitude
Jewell,Hamilton,37,,,,,42.30693,-93.64022
Webster City,Hamilton,37,,,,,42.456380499999995,-93.81595250000001
Garner,Hancock,17,,,,,43.09954,-93.6033
Britt,Hancock,17,,,,Garner Area Education Center (15 minutes away),43.09774,-93.80189
Alden,Hardin,36,,,,,42.508801500000004,-93.389724
Eldora,Hardin,36,,,,,42.3606,-93.10129
Hubbard,Hardin,36,,,,,42.3067335,-93.300106
Iowa Falls,Hardin,36,YES,,,,42.51906,-93.26618
Missouri Valley,Harrison,66,,,"Logan, IA (10 minutes away)",,41.55638,-95.88779
Woodbine,Harrison,66,,,Woodbine Clinic,,41.734571,-95.707189
Winfield,Henry,79,,,Mount Pleasant (20 minutes away),,41.12308,-91.44127
Cresco,Howard,9,,,,,43.37176,-92.11635
Lime Springs,Howard,9,,,,,43.44985,-92.28408
Riceville,Howard,9,,,,,43.362130500000006,-92.55497600000001
Humboldt,Humboldt,26,,,,,42.7208,-94.21524
Holstein,Ida,41,,,,,42.48915,-95.545
Amana,Iowa,58,,,,,41.803463,-91.8708845
Marengo,Iowa,58,,,,,41.7967655,-92.067165
North English,Iowa,58,,,,,41.5139,-92.07629
Victor,Iowa,58,,,,,41.730884,-92.2955935
Williamsburg,Iowa,58,,,,,41.6723375,-92.0098585
Bellevue,Jackson,54,,,,,42.25863,-90.42291
Maquoketa,Jackson,54,,,,,42.053374500000004,-90.66839300000001
Colfax,Jasper,60,,,,,41.67777,-93.2452
