GIS_Number,Map Name,Class,Doing_Business_As,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,2016 Total,2008 total,Sale date,Amount,Non-Useable Transaction Code,Recording
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,H AVE NW,CEDAR RAPIDS CITY OF,0.074,,,,,,,0,43093,,,,
1.42833E+14,CITY PROPERTY,EXEMPT,VACANT LAND,8TH AVE SW,CEDAR RAPIDS CITY OF,0.058,,,,,,,0,43237,,,,
1.42848E+14,CITY PROPERTY,EXEMPT,VACANT LAND,A ST SW,CEDAR RAPIDS CITY OF,0.048,,,,,,,0,43295,,,,
1.42823E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST NW,CEDAR RAPIDS CITY OF,0.0506,,,,,,,0,43568,,,,
1.42726E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST SE,CEDAR RAPIDS CITY OF,0.129,,,,,,,0,43583,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,I AVE NW,CEDAR RAPIDS CITY OF,0.041,,,,,,,0,43699,,,,
1.42848E+14,CITY PROPERTY,EXEMPT,VACANT LAND,A ST SW,CEDAR RAPIDS CITY OF,0.118,,,,,,,0,43774,,,,
1.4291E+14,CITY PROPERTY,EXEMPT,VACANT LAND,B AVE NW,CEDAR RAPIDS CITY OF,0.055,,,,,,,0,43793,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST NW,CEDAR RAPIDS CITY OF,0.054,,,,,,,0,43882,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,I AVE NW,CEDAR RAPIDS CITY OF,0.06,,,,,,,0,43931,,,,
1.42831E+14,CITY PROPERTY,EXEMPT,VACANT LAND,3RD ST SW,CEDAR RAPIDS CITY OF,0.113,,,,,,,0,43976,,,,
1.42848E+14,CITY PROPERTY,EXEMPT,VACANT LAND,17TH AVE SW,CEDAR RAPIDS CITY OF,0.115,,,,,,,0,44086,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,H AVE NW,CEDAR RAPIDS CITY OF,0.06,,,,,,,0,44208,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,I AVE NW,CEDAR RAPIDS CITY OF,0.046,,,,,,,0,44287,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,I AVE NW,CEDAR RAPIDS CITY OF,0.06,,,,,,,0,44322,,,,
1.42848E+14,CITY PROPERTY,EXEMPT,VACANT LAND,20TH AVE SW,CEDAR RAPIDS CITY OF,0.115,,,,,,,0,44458,,,,
1.4291E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST NW,CEDAR RAPIDS CITY OF,0.053,,,,,,,0,44606,,,,
1.42911E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST NW,CEDAR RAPIDS CITY OF,0.047,,,,,,,0,44728,,,,
1.42049E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST NW,CEDAR RAPIDS CITY OF,0.055,,,,,,,0,44873,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST NW,CEDAR RAPIDS CITY OF,0.14,,,,,,,0,45229,,,,
1.42019E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.074,,,,,,,0,45373,,,,
1.42849E+14,CITY PROPERTY,EXEMPT,VACANT BLDG,C ST SW,CEDAR RAPIDS CITY OF,0.0921,,,,,,,0,45496,,,,
1.42735E+14,CITY PROPERTY,EXEMPT,VACANT LAND,20TH AVE SW,CEDAR RAPIDS CITY OF,0.161,,,,,,,0,45716,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST NW,CEDAR RAPIDS CITY OF,0.088,,,,,,,0,45844,,,,
1.42849E+14,CITY PROPERTY,EXEMPT,VACANT LAND,17TH AVE SW,CEDAR RAPIDS CITY OF,0.115,,,,,,,0,45873,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.074,,,,,,,0,45894,,,,
1.42848E+14,CITY PROPERTY,EXEMPT,VACANT LAND,19TH AVE SW,CEDAR RAPIDS CITY OF,0.057,,,,,,,0,45896,,,,
1.42833E+14,CITY PROPERTY,EXEMPT,VACANT LAND,L ST SW,CEDAR RAPIDS CITY OF,0.096,,,,,,,0,45998,,,,
1.42848E+14,CITY PROPERTY,EXEMPT,VACANT LAND,A ST SW,CEDAR RAPIDS CITY OF,0.054,,,,,,,0,46020,,,,
1.4331E+14,CITY PROPERTY,EXEMPT,VACANT LAND,20TH AVE SW,CEDAR RAPIDS CITY OF,0.115,,,,,,,0,46065,,,,
1.42019E+14,CITY PROPERTY,EXEMPT,VACANT LAND,M AVE NW,CEDAR RAPIDS CITY OF,0.034,,,,,,,0,46088,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST NW,CEDAR RAPIDS CITY OF,0.05,,,,,,,0,46193,,,,
1.43533E+14,CITY PROPERTY,EXEMPT,VACANT LAND,BLAKELY BLVD SE,CEDAR RAPIDS CITY OF,0.339,,,,,,,0,46442,,,,
