GIS_Number_valuations,Map_Name_valuations,Class_valuations,2009 Land,2009 Dwlg,2009 Improv,2009 Total
113420500300000,NE 159,Residential,34454,176957,0,211411
113420500400000,NE 159,Residential,37178,247868,0,285046
113420500500000,NE 159,Residential,37901,204296,0,242197
113420500600000,NE 159,Residential,33451,196086,0,229537
113420500700000,NE 159,Residential,30720,226715,0,257435
113420500800000,NE 159,Residential,31799,181778,0,213577
113420500900000,NE 159,Residential,36557,271702,0,308259
113420501000000,NE 159,Residential,33878,220266,0,254144
113420501100000,NE 159,Residential,34344,244884,0,279228
113420501200000,NE 159,Residential,37255,252292,0,289547
113422600100000,NE 159,Residential,32866,189157,0,222023
113422600200000,NE 159,Residential,29767,193821,0,223588
113422600300000,NE 159,Residential,26000,191472,0,217472
113422600400000,NE 159,Residential,24400,170777,0,195177
113422600500000,NE 159,Residential,27600,210877,0,238477
113422600600000,NE 159,Residential,27467,173064,0,200531
113422600700000,NE 159,Residential,30736,165791,0,196527
113422600800000,NE 159,Residential,29784,166019,0,195803
113422600900000,NE 159,Residential,28661,159968,0,188629
113422601000000,NE 159,Residential,28280,174394,0,202674
113422601100000,NE 159,Residential,32070,219745,0,251815
113422601200000,NE 159,Residential,31360,159742,0,191102
113422601300000,NE 159,Residential,32739,205151,0,237890
113422601400000,NE 159,Residential,31328,178838,0,210166
113422601500000,NE 159,Residential,30720,198345,0,229065
113422601600000,NE 159,Residential,28616,171092,0,199708
113422601700000,NE 159,Residential,27160,163853,0,191013
113422601800000,NE 159,Residential,32635,172584,0,205219
113422601900000,NE 159,Residential,32849,192934,0,225783
113422602000000,NE 159,Residential,27160,208816,0,235976
113422602100000,NE 159,Residential,27160,183532,0,210692
113422700100000,NE 159,Residential,32823,182250,0,215073
113422700200000,NE 159,Residential,31312,184283,0,215595
113422700300000,NE 159,Residential,27160,167458,0,194618
113422700400000,NE 159,Residential,27160,176684,0,203844
113422700500000,NE 159,Residential,27160,182654,0,209814
113422700600000,NE 159,Residential,31393,170014,0,201407
113422700700000,NE 159,Residential,31596,168493,0,200089
113422700800000,NE 159,Residential,27160,207788,0,234948
113422700900000,NE 159,Residential,27160,171278,0,198438
113422701000000,NE 159,Residential,27160,166124,0,193284
113422701100000,NE 159,Residential,27160,196133,0,223293
113422701200000,NE 159,Residential,29488,177172,0,206660
113422701300000,NE 159,Residential,30653,185227,0,215880
