GIS_Number,Doing_Business_As,Class,Map Name,Hse#,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,Gross Bldg Area,_unnamed,2012 Land Res,2012 Land Comm,2012 Land Total,2012 Dwlg,2012 Improv,2012 Total,GIS_Number_valuations,Map_Name_valuations,Class_valuations,2008 Land,2008 Dwlg,2008 Improv,2008 total,GIS_Number_valuations,Map_Name_valuations,Class_valuations,2016 Land Res,2016 Land Comm,2016 Land Total,2016 Dwlg,2016 Improv,2016 Total
132528700100000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.27,,,,,,,,,0,0,0,0,0,0,132528700100000,Empty,Exempt,0,0,0,0,132528700100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132528700200000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.83,,,,,,,,,0,0,0,0,0,0,132528700200000,Empty,Exempt,0,0,0,0,132528700200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132530300200000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.05,,,,,,,,,0,0,0,0,0,0,132530300200000,Empty,Exempt,0,0,0,0,132530300200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132532700200000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,3.16,,,,,,,,,0,0,0,0,0,0,132532700200000,Empty,Exempt,0,0,0,0,132532700200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132535100500000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.91,,,,,,,,,0,0,0,0,0,0,132535100500000,Empty,Exempt,0,0,0,0,132535100500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132537700100000,,Exempt,CITY PROPERTY,100,WILEY BLVD SW,CEDAR RAPIDS CITY OF,1.0,,,,,,,,,0,0,0,0,0,0,132537700100000,Empty,Exempt,0,0,0,0,132537700100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132548000600000,VACANT LAND,Exempt,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.988,,,,,,,,,0,0,0,0,0,0,132548000600000,COMM SW,Exempt,0,0,0,0,132548000600000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132610400900000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.046,,,,,,,,,0,0,0,0,0,0,132610400900000,Empty,Exempt,0,0,0,0,132610400900000,NW 329,RESIDENTIAL,7500,0,7500,0,0,7500
132627600100000,,Exempt,CITY PROPERTY,341,STONEY POINT RD NW,CEDAR RAPIDS CITY OF,61.27,,,,,,,,,0,0,0,0,0,0,132627600100000,Empty,Exempt,0,0,0,0,132627600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132632700300000,,Exempt,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,2.538,,,,,,,,,0,0,0,0,0,0,132632700300000,Empty,Exempt,0,0,0,0,132632700300000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132642702200000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,6.96,,,,,,,,,0,0,0,0,0,0,132642702200000,Empty,Exempt,0,0,0,0,132642702200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132710300100000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.49,,,,,,,,,0,0,0,0,0,0,132710300100000,NW 332,Exempt,0,0,0,0,132710300100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132710400700000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.52,,,,,,,,,0,0,0,0,0,0,132710400700000,Empty,Exempt,0,0,0,0,132710400700000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132712701800000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,0,0,132712701800000,Empty,Exempt,0,0,0,0,132712701800000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132725500200000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.86,,,,,,,,,0,0,0,0,0,0,132725500200000,NW 332,Exempt,0,0,0,0,132725500200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132725601800000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.14,,,,,,,,,0,0,0,0,0,0,,,,,,,,132725601800000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132740103500000,,Exempt,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,1.88,,,,,,,,,0,0,0,0,0,0,132740103500000,Empty,Exempt,0,0,0,0,132740103500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132742700100000,,Exempt,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.5254,,,,,,,,,0,0,0,0,0,0,132742700100000,Empty,Exempt,0,0,0,0,132742700100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
133517600100000,,Exempt,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,16.39,,,,,,,,,0,0,0,0,0,0,133517600100000,Empty,Exempt,0,0,0,0,133517600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140220201100000,,Exempt,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,6.64,,,,,,,,,0,0,0,0,0,0,,,,,,,,140220201100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140232600600000,,Exempt,CITY PROPERTY,4523,C AVE NE,CEDAR RAPIDS CITY OF,0.182,Single-Family,1 Story Frame,1956-01-01,1280.0,,,,,0,0,0,0,0,0,140232600600000,NE 117,Residential,33000,83150,0,116150,140232600600000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
